Year,Anomaly
190312,-0.61
190401,-0.57
190402,-0.70
190403,-0.61
190404,-0.52
190405,-0.38
190406,-0.31
190407,-0.40
190408,-0.31
190409,-0.57
190410,-0.37
190411,-0.12
190412,-0.32
190501,-0.12
190502,-0.80
190503,-0.73
190504,-0.79
190505,-0.20
190506,-0.20
190507,-0.13
190508,-0.30
190509,-0.25
190510,-0.29
190511,0.10
190512,-0.04
190601,-0.47
190602,-0.47
190603,-0.33
190604,0.02
190605,-0.04
190606,-0.08
190607,-0.23
190608,-0.17
190609,-0.28
190610,-0.15
190611,-0.59
190612,-0.06
190701,-0.61
190702,-0.60
190703,-0.36
190704,-0.50
190705,-0.63
190706,-0.48
190707,-0.52
190708,-0.39
190709,-0.32
190710,-0.25
190711,-0.52
190712,-0.63
190801,-0.41
190802,-0.29
190803,-0.81
190804,-0.48
190805,-0.20
190806,-0.08
190807,-0.23
190808,-0.43
190809,-0.17
190810,-0.43
190811,-0.82
190812,-0.49
190901,-0.68
190902,-0.26
190903,-0.77
190904,-0.91
190905,-0.59
190906,-0.45
190907,-0.25
190908,-0.16
190909,-0.25
190910,-0.33
190911,-0.16
190912,-0.35
191001,-0.05
191002,-0.15
191003,-0.57
191004,-0.29
191005,-0.25
191006,-0.25
191007,-0.09
191008,-0.28
191009,-0.37
191010,-0.49
191011,-0.69
191012,-0.92
191101,-0.79
191102,-0.70
191103,-0.85
191104,-0.53
191105,-0.36
191106,-0.42
191107,-0.28
191108,-0.50
191109,-0.46
191110,-0.40
191111,-0.06
191112,-0.09
191201,-0.32
191202,-0.29
191203,-0.78
191204,-0.34
191205,-0.14
191206,-0.08
191207,-0.63
191208,-0.65
191209,-0.80
191210,-0.97
191211,-0.45
191212,-0.68
191301,-0.50
191302,-0.70
191303,-0.50
191304,-0.36
191305,-0.54
191306,-0.50
191307,-0.29
191308,-0.26
191309,-0.34
191310,-0.49
191311,-0.26
191312,0.21
191401,0.48
191402,0.13
191403,-0.19
191404,-0.43
191405,-0.13
191406,-0.13
191407,-0.34
191408,-0.27
191409,-0.32
191410,-0.18
191411,-0.25
191412,0.03
191501,-0.41
191502,0.01
191503,-0.21
191504,0.24
191505,0.09
191506,-0.10
191507,-0.01
191508,-0.09
191509,-0.35
191510,-0.37
191511,-0.07
191512,-0.46
191601,-0.40
191602,-0.29
191603,-0.49
191604,-0.28
191605,-0.28
191606,-0.44
191607,-0.29
191608,-0.34
191609,-0.27
191610,-0.26
191611,-0.43
191612,-1.29
191701,-0.71
191702,-0.97
191703,-1.03
191704,-0.72
191705,-0.94
191706,-0.62
191707,-0.31
191708,-0.44
191709,-0.34
191710,-0.69
191711,-0.39
191712,-1.03
191801,-0.95
191802,-0.75
191803,-0.37
191804,-0.75
191805,-0.72
191806,-0.56
191807,-0.38
191808,-0.48
191809,-0.19
191810,-0.12
191811,-0.27
191812,-0.80
191901,-0.42
191902,-0.49
191903,-0.51
191904,-0.10
191905,-0.32
191906,-0.29
191907,-0.18
191908,-0.19
191909,-0.18
191910,-0.12
191911,-0.54
191912,-0.57
192001,-0.09
192002,-0.52
192003,0.04
192004,-0.26
192005,-0.29
192006,-0.30
192007,-0.24
192008,-0.25
192009,-0.29
192010,-0.50
192011,-0.48
192012,-0.97
192101,0.13
192102,-0.13
192103,-0.17
192104,-0.14
192105,-0.05
192106,-0.09
192107,-0.01
192108,-0.29
192109,-0.33
192110,-0.27
192111,-0.27
192112,-0.16
192201,-0.51
192202,-0.86
192203,-0.09
192204,-0.13
192205,-0.23
192206,-0.05
192207,-0.16
192208,-0.25
192209,-0.31
192210,-0.35
192211,-0.10
192212,-0.18
192301,-0.19
192302,-0.53
192303,-0.39
192304,-0.61
192305,-0.43
192306,-0.14
192307,-0.40
192308,-0.33
192309,-0.20
192310,-0.11
192311,0.10
192312,0.11
192401,-0.35
192402,-0.26
192403,0.01
192404,-0.45
192405,-0.09
192406,-0.29
192407,-0.09
192408,-0.22
192409,-0.20
192410,-0.24
192411,0.18
192412,-0.29
192501,-0.33
192502,-0.49
192503,-0.23
192504,-0.10
192505,-0.27
192506,-0.42
192507,-0.38
192508,-0.17
192509,-0.02
192510,-0.31
192511,0.17
192512,0.40
192601,0.49
192602,0.18
192603,0.53
192604,-0.24
192605,-0.37
192606,-0.24
192607,-0.32
192608,-0.09
192609,-0.16
192610,0.01
192611,0.13
192612,-0.37
192701,-0.51
192702,-0.21
192703,-0.61
192704,-0.40
192705,-0.18
192706,-0.13
192707,-0.12
192708,-0.16
192709,0.10
192710,0.23
192711,0.03
192712,-0.49
192801,0.15
192802,0.09
192803,-0.30
192804,-0.30
192805,-0.07
192806,-0.35
192807,-0.13
192808,-0.16
192809,-0.05
192810,-0.09
192811,0.16
192812,0.12
192901,-0.67
192902,-0.85
192903,-0.31
192904,-0.46
192905,-0.32
192906,-0.47
