id,city,name,country,measurements,bounds,unit,count,average,lastValue,parameter,displayName,parameterId,latitude,longitude,modelName,manufacturerName
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",%,42392,52.408411946086744,53.0,humidity,humidity %,134,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",particles/cm³,42392,0.0021198490691407123,0.0,um050,um050 particles/cm³,129,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",particles/cm³,42392,2.611358768874649,2.39,um005,um005 particles/cm³,133,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",particles/cm³,42392,9.387700545129059,8.62,um003,um003 particles/cm³,125,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",µg/m³,302044,8.998984472169528,3.7,pm1,pm1 µg/m³,19,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",µg/m³,302044,16.46143969337797,6.0,pm10,pm10 µg/m³,1,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",particles/cm³,302044,1.1127847304424534,0.39,um010,um010 particles/cm³,126,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",particles/cm³,302044,0.06843643489638036,0.01,um025,um025 particles/cm³,130,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",particles/cm³,302044,0.004915300867530588,0.0,um100,um100 particles/cm³,135,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",µg/m³,16775,88.8,21.6,pm25,pm25 µg/m³,2,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",particles/cm³,16775,0.09,0.0,um050,um050 particles/cm³,129,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",particles/cm³,16775,118.39,23.26,um003,um003 particles/cm³,125,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",µg/m³,16775,47.0,13.6,pm1,pm1 µg/m³,19,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",particles/cm³,16775,0.03,0.0,um100,um100 particles/cm³,135,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",µg/m³,16775,94.4,22.2,pm10,pm10 µg/m³,1,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",particles/cm³,16775,11.11,1.61,um010,um010 particles/cm³,126,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",particles/cm³,16775,35.44,6.78,um005,um005 particles/cm³,133,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",particles/cm³,16775,0.87,0.09,um025,um025 particles/cm³,130,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
1275447,,Rosemary,NO,201300,"[-83.025894, 40.05276, -83.025894, 40.05276]",%,16775,52.0,46.0,humidity,humidity %,134,40.05276,-83.025894,PurpleAir Sensor,PurpleAir
